"","Idade","Tempo_cotribuicaof","Salario1","Salario2","Salario3","Salario4","Salario5"
"1",62,17,2212.27820847673,1537.04158971083,3553.08497439983,4395.31521809598,3973.17674731576
"2",63,26,1236.98832116866,1842.82021386371,1859.7876213412,3095.32211090208,5895.23513731226
"3",64,28,2306.52152383689,2258.59223743986,998,4073.69534944354,5970.4732040021
"4",65,24,2071.54286275242,1857.23597374958,3518.97326479243,998,998
"5",66,33,2768.43456421051,1623.52856390791,4234.25327567389,3022.36855185347,998
"6",67,31,1648.34330547307,1301.26607595424,2994.83560038228,998,1319.27700827054
"7",68,38,1918.65695922098,2933.49088373035,998,5921.73390673178,2224.93318487281
"8",69,29,3025.77513654632,2265.65576343687,2695.17043562307,998,3466.93510374194
"9",70,43,1807.91336036354,3407.23549668858,1376.48397226734,998,998
"10",71,40,1107.69082751754,3732.94349960632,2552.53831273177,2726.397501314,998
"11",72,17,2303.80441688241,1684.11819132173,4400.91557490087,998,9743.78068946248
"12",73,25,1793.74684233908,3266.2002357926,2107.72666687859,998,998
"13",74,23,2195.19564535762,2534.09893778249,3590.57201095901,2596.03408203232,4829.24153421749
"14",75,25,2455.50510767562,998,3348.65875352212,4118.38033738874,998
"15",76,41,2230.63631706784,3091.17439681576,4305.7814484979,2029.25777569177,998
"16",77,46,2465.69679952901,1643.42730325798,3616.26620876706,1658.16459819136,2187.94589065759
"17",78,15,1529.71295636132,998,1542.72451272781,2498.98835047174,6733.36930069614
"18",79,45,1851.87483106567,2420.6640250169,2286.55492618566,999.465842054868,998
"19",80,37,2196.27801275618,1655.85775484169,1995.97251050959,998,1289.03997288539
"20",81,46,1445.86433726612,2227.78567033344,998,3826.73771146903,998
"21",82,41,1468.28024519402,998,998,1889.31807474901,998
"22",83,15,998,1266.03786016054,2881.31268508502,4080.14574196096,998
"23",84,25,2585.284862939,1844.07033387825,3249.91823235567,4498.84098046137,2088.8668552972
"24",85,45,2162.81205514518,2087.28638001404,5260.16333417926,2603.14088908466,2150.39367686785
"25",86,27,2671.92485129242,2215.14597035789,998,1464.53568639674,3502.08927660254
"26",87,41,2420.33283818023,998,1618.32259900503,1493.56534461437,4436.79159314551
"27",88,20,2560.52376090198,1130.2460148153,1814.35719673127,2710.6785057398,998
"28",89,24,1907.83408129025,1089.9917992762,998,998,2482.79730464364
"29",90,38,1534.19906774698,998,4900.87547460082,2690.44676426844,4391.18809958701
"30",91,36,1957.38039440198,2427.88158814755,1420.03744197456,2093.11079601265,998
"31",92,22,1610.61119941218,2334.14481410503,3223.00754861845,998,998
"32",93,39,1435.76252120758,2867.36243413214,1569.7491888772,5311.7059408421,998
"33",94,33,3016.04778958525,1617.09001204816,3975.85707493372,3871.61339858364,2054.8860325742
"34",95,36,2958.75878601027,2478.72209867386,3336.38964105219,4149.3884665595,998
"35",96,27,2380.22029893011,1347.52771464061,2502.86156626297,998,998
"36",97,27,2262.30853219434,1738.16976638612,1269.80259759735,998,2814.77899884377
"37",98,39,2203.73453418202,1046.74485156897,2884.44865211769,3072.39960091603,998
"38",99,30,1286.62381934491,2169.30795245811,1531.46769459238,998,2807.5128020866
"39",100,41,1398.99037336337,998,998,3286.3389656654,998
