"","Idade","Tempo_cotribuicao1","Salario1","Salario2","Salario3","Salario4","Salario5"
"1",65,42,2478.36503552442,2277.73474551254,998,3564.3327470381,6043.58197427216
"2",66,47,1924.41228909489,2912.81105960423,3845.14189888597,2592.76960269248,998
"3",67,31,2292.65833846014,2838.43732585612,1140.88420251861,2295.34568105883,2874.09312481527
"4",68,19,2667.40826268087,3150.15605249313,2569.71728341151,4697.01352390031,1097.58766037768
"5",69,16,2955.18635480788,3088.71183161768,3065.99459843144,1627.66838219194,2607.35140698111
"6",70,45,2381.37209178302,4356.31533209256,3663.19327586869,4551.62399716193,4981.02652197421
"7",71,47,2964.19149911542,2184.61693368547,998,998,998
"8",72,23,2848.41240919528,3543.85037217563,998,2919.36868811703,1448.33878410073
"9",73,22,1897.06661014889,3213.78135416888,4235.31278653958,4891.40015485049,12605.1960327575
"10",74,20,2632.85552343354,3017.89607659886,3348.4629803069,998,1377.62279385992
"11",75,44,2981.80070032327,2334.57862979806,2099.04217282419,6931.77043370675,998
"12",76,35,3885.84914564706,3663.89258023744,6056.20553191421,5502.56083165332,3566.78343474619
"13",77,24,2639.31175844053,1284.56249929892,998,998,5836.08166453405
"14",78,19,2100.78725805061,2501.49937128222,5935.49252025849,1403.75694751768,2266.38856026298
"15",79,42,3380.21163712123,4025.03055963554,3347.18295822254,2786.91372116717,1009.66218231658
"16",80,41,2358.00039725908,3136.0755648785,2144.55323074113,998,998
"17",81,19,2992.79398569998,1886.42446367056,2402.44698568236,4334.98583764205,8551.44288058071
"18",82,30,2420.02399249008,998,3244.9878061992,5175.47643993223,2746.49568309878
"19",83,48,998,2256.92013055177,6906.33471133852,2808.224066449,3939.44358640046
"20",84,33,2201.65842181077,2324.70591873896,1877.80793380855,6351.36376698226,2498.65130636714
"21",85,48,3444.1195485693,1762.73660129601,4113.19167413213,998,12745.5396821288
"22",86,18,2682.64386063312,4567.60521359179,998,2870.77500156343,5043.65999502275
"23",87,44,3955.33699603578,2600.75116250569,2445.53401174878,998,2903.63328816213
"24",88,38,2390.78330643026,1868.48678965993,1265.07700265624,5444.29380652239,998
"25",89,27,1598.61353876728,2142.68376467349,998,3457.01590037109,998
"26",90,39,2084.18666991634,3706.75866242175,2850.92386962439,2777.81546916052,998
"27",91,25,2259.51801440843,1475.07714621778,3734.9676097766,1573.22896341089,13128.5683465403
"28",92,21,2937.82226182766,2729.90961704231,998,998,1484.37517568063
"29",93,37,3271.3738357539,3429.86801110063,3576.25606480455,998,4220.67035081979
"30",94,23,2019.90597632565,4848.15713090825,1665.36823798819,1523.33592573713,4862.668583906
"31",95,37,2366.50381147382,4286.74200715823,3617.5709509626,2641.09382815818,11173.5126566448
"32",96,34,3014.69569745826,1990.64624815323,2316.73850684711,5601.2062420049,4907.69155904426
"33",97,36,2999.90732490737,3394.74622317738,998,998,9616.89816582925
"34",98,37,1965.25853817519,3339.83594643472,998,998,4984.6418714322
"35",99,25,2039.8256384148,3273.45754085812,2020.60911687952,3421.8653799117,2824.95498533825
"36",100,34,2239.01606699456,3588.20064771363,2053.91616184773,4692.02443319309,10306.1558884976
